x_m,eta_initial_m,eta_ader_dg_m,q_initial_m2_s,q_ader_dg_m2_s,b_initial_m,b_ader_dg_m,h_ader_dg_m
-14.925,5.0,4.999999999955027,0.5,0.4999999997896058,3.0,2.9999999999999982,1.9999999999550289
-14.775,5.0,4.999999999954756,0.5,0.49999999978830756,3.0,2.9999999999999982,1.999999999954758
-14.625,5.0,4.999999999954503,0.5,0.4999999997871357,3.0,2.999999999999998,1.9999999999545053
-14.475,5.0,4.999999999954276,0.5,0.4999999997860916,3.0,2.999999999999998,1.999999999954278
-14.325,5.0,4.999999999954073,0.5,0.49999999978515824,3.0,2.999999999999997,1.9999999999540763
-14.174999999999999,5.0,4.999999999953897,0.5,0.49999999978433735,3.0,2.999999999999998,1.9999999999538995
-14.024999999999999,5.0,4.999999999953746,0.5,0.499999999783622,3.0,2.999999999999997,1.9999999999537494
-13.875,5.0,4.99999999995362,0.5,0.4999999997830437,3.0,2.999999999999997,1.9999999999536233
-13.725000000000001,5.0,4.999999999953522,0.5,0.4999999997825977,3.0,2.9999999999999973,1.9999999999535243
-13.575000000000001,5.0,4.9999999999534674,0.5,0.49999999978220755,3.0,2.999999999999997,1.9999999999534706
-13.425,5.0,4.999999999953393,0.5,0.499999999782183,3.0,2.999999999999997,1.999999999953396
-13.275,5.0,4.999999999953432,0.5,0.49999999978199566,3.0,2.999999999999997,1.999999999953435
-13.125,5.0,4.999999999953577,0.5,0.49999999978175486,3.0,2.9999999999999973,1.9999999999535794
-12.975,5.0,4.999999999953143,0.5,0.49999999978443244,3.0,2.999999999999997,1.9999999999531464
-12.825,5.0,4.999999999954013,0.5,0.49999999978227744,3.0,2.999999999999998,1.999999999954015
-12.674999999999999,5.0,4.999999999955648,0.5,0.4999999997777643,3.0,2.9999999999999982,1.9999999999556497
-12.524999999999999,5.0,4.999999999948638,0.5,0.49999999981035387,3.0,2.9999999999999876,1.9999999999486509
-12.375,5.0,4.99999999996054,0.5,0.4999999997649522,3.0,3.000000000000009,1.9999999999605311
-12.225,5.0,4.999999999968925,0.5,0.49999999973509135,3.0,2.999999999999999,1.9999999999689262
-12.075,5.0,4.999999999893785,0.5,0.5000000000549185,3.0,2.9999999999999196,1.9999999998938658
-11.925,5.0,5.0000000000669775,0.5,0.49999999933822536,3.0,3.000000000000163,2.0000000000668146
-11.775,5.0,4.999999999912028,0.5,0.49999999999310535,3.0,2.999999999999814,1.9999999999122138
-11.625,5.0,4.999999999645059,0.5,0.5000000011162339,3.0,2.999999999999778,1.999999999645281
-11.475,5.0,5.000000001089298,0.5,0.4999999950930218,3.0,3.000000000001289,2.0000000010880092
-11.325,5.0,4.999999997638738,0.5,0.5000000095170485,3.0,2.999999999996764,1.9999999976419738
-11.175,5.0,5.000000003263471,0.5,0.49999998603170515,3.0,3.000000000005348,2.000000003258123
-11.025,5.0,4.999999997222939,0.5,0.5000000112824439,3.0,2.999999999993769,1.9999999972291698
-10.875,5.0,4.999999998263179,0.5,0.5000000069387966,3.0,3.0000000000028724,1.9999999982603063
-10.725,5.0,5.000000014133201,0.5,0.4999999406818001,3.0,3.0000000000092557,2.0000000141239456
-10.575,5.0,4.999999954651461,0.5,0.5000001891324678,3.0,2.999999999959142,1.9999999546923188
-10.424999999999999,5.0,5.0000001202233255,0.5,0.4999994975592113,3.0,3.0000000001212888,2.0000001201020368
-10.274999999999999,5.0,4.999999714744773,0.5,0.5000011913000931,3.0,2.999999999692329,1.9999997150524438
-10.125,5.0,5.000000611798177,0.5,0.4999974441303185,3.0,3.0000000006778325,2.000000611120344
-9.975000000000001,5.0,4.999998745187648,0.5,0.5000052414804003,3.0,2.9999999986214894,1.9999987465661588
-9.825000000000001,5.0,5.000002385850948,0.5,0.4999900333392254,3.0,3.0000000025705567,2.0000023832803913
-9.675,5.0,4.999995858505985,0.5,0.5000172997976808,3.0,2.999999995837101,1.9999958626688836
-9.525,5.0,5.000004886377843,0.5,0.4999795890192258,3.0,3.000000004266352,2.0000048821114906
-9.375,5.0,5.000002455105972,0.5,0.49998973847347056,3.0,3.0000000052834515,2.0000024498225204
-9.225,5.0,4.999958687685201,0.5,0.5001725839174018,3.0,2.999999951772219,1.9999587359129816
-9.075,5.0,5.0001160064267145,0.5,0.49951534891244115,3.0,3.000000121296152,2.0001158851305627
-8.924999999999999,5.0,5.0001876462830905,0.5,0.49921605707722216,3.0,3.000000184563433,2.0001874617196576
-8.774999999999999,5.0,5.000125195727921,0.5,0.4994769602401062,3.0,3.0000001129480776,2.000125082779843
-8.625,5.0,4.9999141182440034,0.5,0.5003588722637705,3.0,2.9999998742941067,1.9999142439498967
-8.475,5.0,4.99501534084793,0.5,0.5207679989142325,3.0,2.999995073236818,1.9950202676111117
-8.325,5.0,4.97971016389538,0.5,0.5840218647929998,3.0,2.9999753007892043,1.9797348631061755
-8.175,5.0,4.9604617198240195,0.5,0.6624840150956401,3.0,2.999943386875618,1.9605183329484017
-8.025,5.0,4.939991221560086,0.5,0.7445428562940204,3.0,2.9998989792375346,1.9400922423225513
-7.875,5.0,4.919027510536199,0.5,0.8271136354952482,3.0,2.999839136732192,1.919188373804007
-7.7250000000000005,5.0,4.897803185407872,0.5,0.909152596215775,3.0,2.9997620206872266,1.8980411647206452
-7.575,5.0,4.876435217516497,0.5,0.9901931398999703,3.0,2.9996648112607467,1.8767704062557504
-7.425,5.0,4.854976598280819,0.5,1.0699529159443018,3.0,2.9995445198596054,1.855432078421214
-7.2749999999999995,5.0,4.83346113523543,0.5,1.1483292301272325,3.0,2.9993979654744787,1.834063169760951
-7.125,5.0,4.811894959474945,0.5,1.2252287774338524,3.0,2.9992212786116004,1.812673680863345
-6.975,5.0,4.790287890574557,0.5,1.300639505052771,3.0,2.9990114199963918,1.7912764705781656
-6.824999999999999,5.0,4.768638315072995,0.5,1.3745158856211759,3.0,2.9987630082802523,1.769875306792743
-6.675,5.0,4.74695125699383,0.5,1.4468424951121586,3.0,2.9984721721628738,1.7484790848309562
-6.525,5.0,4.725232956926788,0.5,1.5175758614621593,3.0,2.9981338146713785,1.7270991422554092
-6.375,5.0,4.7034919683701215,0.5,1.586667209443387,3.0,2.9977428423210837,1.7057491260490378
-6.225,5.0,4.68172476179968,0.5,1.6541338664280492,3.0,2.997292978701947,1.6844317830977333
-6.074999999999999,5.0,4.65988970294838,0.5,1.7200587728123162,3.0,2.9967779238741774,1.6631117790742027
-5.925,5.0,4.637943895641516,0.5,1.7845793297326495,3.0,2.996187498675951,1.6417563969655653
-5.775,5.0,4.615876701298814,0.5,1.8476580225405708,3.0,2.9955151046393684,1.6203615966594453
-5.625,5.0,4.593747047252066,0.5,1.9091365739070179,3.0,2.9947509767425875,1.5989960705094783
-5.475,5.0,4.571643251210549,0.5,1.9687345564370375,3.0,2.9938920345043165,1.5777512167062326
-5.324999999999999,5.0,4.549637071921834,0.5,2.0262919518422287,3.0,2.9929319286173732,1.5567051433044612
-5.175,5.0,4.527774705175031,0.5,2.081712256161319,3.0,2.991863506805692,1.5359111983693392
-5.0249999999999995,5.0,4.5063802655736405,0.5,2.1342484072571604,3.0,2.9906987064736463,1.5156815590999941
-4.874999999999999,5.0,4.486688752974086,0.5,2.181151326725984,3.0,2.9895128584330974,1.4971758945409883
-4.725,5.0,4.471905744411536,0.5,2.2154407666208056,3.0,2.9885464793652323,1.483359265046304
-4.575,5.0,4.465690223735008,0.5,2.229624431218761,3.0,2.988130178128173,1.4775600456068347
-4.425,5.0,4.4650906743260625,0.5,2.230980469775805,3.0,2.9880945870498254,1.476996087276237
-4.2749999999999995,5.0,4.465400131540752,0.5,2.230284465744139,3.0,2.988103350724325,1.4772967808164275
-4.124999999999999,5.0,4.467697559514481,0.5,2.2250582253181554,3.0,2.9882779746380432,1.479419584876438
-3.974999999999999,5.0,4.468456823831776,0.5,2.2233337198645953,3.0,2.988318040315979,1.4801387835157969
-3.825,5.0,4.4685669705597215,0.5,2.223090573089312,3.0,2.9883230244276056,1.480243946132116
-3.6749999999999994,5.0,4.468533672989674,0.5,2.223155695737785,3.0,2.9883257523705025,1.4802079206191712
-3.525,5.0,4.468490051748289,0.5,2.2232638092685533,3.0,2.988318671997966,1.480171379750323
-3.3749999999999996,5.0,4.468429195764864,0.5,2.2233969308901727,3.0,2.9883193129192445,1.4801098828456198
-3.2249999999999996,5.0,4.468335520638073,0.5,2.2236155370445103,3.0,2.9883104675056225,1.4800250531324504
